state_name_crime,district_name,total_crimes,Ranking,state_name_pop,Population,Growth,Sex-Ratio,Literacy,crime_rate_per_capita,safety_score
Andhra Pradesh,Chittoor,3804.0,47.0,Andhra Pradesh,4174064.0,11.43 %,997.0,71.53,91.13420397962274,99.12552054179861
Andhra Pradesh,East Godavari,9041.0,19.0,Andhra Pradesh,5154296.0,5.16 %,1006.0,70.99,175.40707790161838,98.31687906680577
Andhra Pradesh,Guntur,12489.0,22.0,Andhra Pradesh,4887813.0,9.47 %,1003.0,67.4,255.51304847382664,97.54822116795208
Andhra Pradesh,Guntur,4530.0,22.0,Andhra Pradesh,4887813.0,9.47 %,1003.0,67.4,92.67948671522417,99.11069276089542
Andhra Pradesh,Krishna,6920.0,34.0,Andhra Pradesh,4517398.0,7.87 %,992.0,73.74,153.18552848343228,98.53010623780247
Andhra Pradesh,Kurnool,7859.0,54.0,Andhra Pradesh,4053463.0,14.85 %,988.0,59.97,193.8836002696953,98.13958735234152
Andhra Pradesh,Prakasam,6528.0,98.0,Andhra Pradesh,3397448.0,11.05 %,981.0,63.08,192.14422119190638,98.15627758726026
Andhra Pradesh,East Godavari,2374.0,19.0,Andhra Pradesh,5154296.0,5.16 %,1006.0,70.99,46.05866640177437,99.55804345809058
Andhra Pradesh,Visakhapatnam,2965.0,44.0,Andhra Pradesh,4290589.0,11.96 %,1006.0,66.91,69.10473130845205,99.33690463783192
Andhra Pradesh,Visakhapatnam,6888.0,44.0,Andhra Pradesh,4290589.0,11.96 %,1006.0,66.91,160.53739941066365,98.45956126319942
Andhra Pradesh,Vizianagaram,9410.0,193.0,Andhra Pradesh,2344474.0,4.23 %,1019.0,58.89,401.36934766604367,96.14865512224009
Andhra Pradesh,West Godavari,8676.0,62.0,Andhra Pradesh,3936966.0,3.51 %,1004.0,74.63,220.37274388450396,97.88541042485471
Arunachal Pradesh,Anjaw,21.0,639.0,Arunachal Pradesh,21167.0,14.19 %,839.0,56.46,99.21103604667644,99.04801919300141
Arunachal Pradesh,Changlang,130.0,598.0,Arunachal Pradesh,148226.0,18.18 %,926.0,59.8,87.70391159445711,99.15843595769584
Arunachal Pradesh,Dibang Valley,17.0,640.0,Arunachal Pradesh,8004.0,10.07 %,813.0,64.1,212.39380309845077,97.9619724565719
Arunachal Pradesh,East Kameng,120.0,624.0,Arunachal Pradesh,78690.0,37.62 %,1029.0,60.02,152.49714067861228,98.53671167207746
Arunachal Pradesh,West Kameng,124.0,621.0,Arunachal Pradesh,83947.0,12.53 %,819.0,67.07,147.7122470129963,98.58262518245601
Arunachal Pradesh,Kurung Kumey,47.0,617.0,Arunachal Pradesh,92076.0,116.56 %,1032.0,48.75,51.04478908727573,99.51019905199341
Arunachal Pradesh,Lohit,106.0,600.0,Arunachal Pradesh,145726.0,16.59 %,912.0,68.18,72.73925037398953,99.30202956212528
Arunachal Pradesh,Lower Dibang Valley,50.0,630.0,Arunachal Pradesh,54080.0,7.20 %,928.0,69.13,92.45562130177514,99.11284086442751
Arunachal Pradesh,East Siang,288.0,615.0,Arunachal Pradesh,99214.0,13.52 %,980.0,72.54,290.2816134819683,97.21459894311147
Arunachal Pradesh,Upper Siang,52.0,637.0,Arunachal Pradesh,35320.0,5.87 %,889.0,59.99,147.22536806342015,98.58729703584851
Arunachal Pradesh,West Siang,87.0,612.0,Arunachal Pradesh,112274.0,8.04 %,930.0,66.46,77.48900012469494,99.25645327564652
Arunachal Pradesh,Lower Subansiri,78.0,623.0,Arunachal Pradesh,83030.0,49.00 %,984.0,74.35,93.9419486932434,99.09857879030777
Arunachal Pradesh,Upper Subansiri,111.0,622.0,Arunachal Pradesh,83448.0,50.78 %,998.0,63.8,133.01696865113604,98.72363392010703
Arunachal Pradesh,Tawang,49.0,633.0,Arunachal Pradesh,49977.0,28.40 %,714.0,59.0,98.04510074634331,99.05920694057816
Arunachal Pradesh,Tirap,57.0,613.0,Arunachal Pradesh,111975.0,11.61 %,944.0,52.19,50.90421969189551,99.51154788748376
Assam,Barpeta,6441.0,292.0,Assam,1693622.0,21.43 %,953.0,63.81,380.30918351320423,96.35073820558085
Assam,Baksa,1375.0,459.0,Assam,950075.0,10.74 %,974.0,69.25,144.7254164144936,98.61128535492102
Assam,Bongaigaon,2709.0,495.0,Assam,738804.0,20.59 %,966.0,69.74,366.67370506927415,96.48157761911905
Assam,Cachar,5559.0,278.0,Assam,1736617.0,20.19 %,959.0,79.34,320.10512392772847,96.9284270546501
Assam,Chirang,817.0,547.0,Assam,482162.0,11.34 %,969.0,63.55,169.4451242528445,98.37408707180208
Assam,Darrang,3998.0,462.0,Assam,928500.0,22.19 %,954.0,63.08,430.5869682283253,95.86829705815967
Assam,Dhemaji,1307.0,506.0,Assam,686133.0,19.97 %,953.0,72.7,190.48785002324624,98.17217131869037
Assam,Dhubri,6619.0,240.0,Assam,1949258.0,24.44 %,953.0,58.34,339.565106312248,96.74169853660622
Assam,Dibrugarh,4088.0,368.0,Assam,1326335.0,11.92 %,961.0,76.05,308.2177579570772,97.04249243185778
